x_dist,y_dist,xvel,yvel
-50.59377397,522.0482845,2.087782305,2.506410776
-50.38468591,306.0981434,-2.015095667,1.003156348
-49.72325885,691.6111462,-0.883198874,1.805799801
-49.61017554,229.5659169,4.630274774,1.237312169
-49.57002174,585.9666613,-2.08179094,1.988806895
-49.3762592,304.1800093,-1.918134117,1.008426713
-48.36256212,302.3588367,-1.821172566,1.013697077
-48.31195768,234.2950961,4.729179153,1.298217861
-48.10249067,524.2283191,2.180034644,2.491283305
-47.87745905,690.8279474,-0.783198874,1.845799801
-47.54121484,583.7848703,-2.18179094,2.028806895
-47.34359468,300.6346257,-1.724211016,1.018967442
-46.95978852,239.123788,4.828691963,1.352169156
-46.31935687,299.0073762,-1.627249465,1.024237806
-45.99165924,690.1447485,-0.683198874,1.885799801
-45.83905941,483.4184268,6.256443016,-0.372315146
-45.62633483,526.5006061,2.272286983,2.476155833
-45.56063947,244.0523582,4.928570128,1.399149056
-45.47240795,581.5030794,-2.28179094,2.068806895
-45.46674426,477.1619838,6.356443016,-0.332315146
-45.2898487,297.4770883,-1.530287914,1.02950817
-45.13442912,470.8055407,6.456443016,-0.292315146
-44.84211397,464.3490977,6.556443016,-0.252315146
-44.58979882,457.7926547,6.656443016,-0.212315146
-44.37748368,451.1362117,6.756443016,-0.172315146
-44.25507017,296.0437619,-1.433326364,1.034778535
-44.20516853,444.3797687,6.856443016,-0.132315146
-44.12149041,249.0809283,5.028570128,1.439149056
-44.07285339,437.5233257,6.956443016,-0.092315146
-44.06585944,689.5615496,-0.583198874,1.925799801
-43.98053824,430.5668826,7.056443016,-0.052315146
-43.9435928,409.0975536,7.356443016,-0.012315146
-43.93127766,401.7411106,7.286833397,-0.078298999
-43.92822309,423.5104396,7.156443016,-0.012315146
-43.91590795,416.3539966,7.256443016,0.027684854
-43.85297866,394.4542772,7.217223778,-0.144282852
-43.70869581,387.2370534,7.147614159,-0.210266705
-43.4984291,380.0894392,7.078004539,-0.276250557
-43.36360105,579.1212885,-2.38179094,2.108806895
-43.22217854,373.0114347,7.00839492,-0.34223441
-43.21502127,294.7073971,-1.336364813,1.040048899
-43.16530647,528.8651454,2.364539323,2.461028362
-42.64932125,254.2093766,5.128448293,1.472169156
-42.16970201,293.4679939,-1.239403263,1.045319264
-42.10005964,689.0783507,-0.483198874,1.965799801
-41.21479416,576.6394975,-2.48179094,2.148806895
-41.15110339,259.4373377,5.227961104,1.498217861
-41.11911238,292.3255522,-1.142441712,1.050589628
-40.71940558,531.3219371,2.456791662,2.445900891
-40.09425984,688.6951519,-0.383198874,2.005799801
-40.06325238,291.280072,-1.045480161,1.055859993
-39.63379122,264.7642032,5.326865483,1.517312169
-39.09439129,574.2456451,-2.393852416,2.120402867
-39.00212203,290.3315534,-0.948518611,1.061130357
-38.28863216,533.8709811,2.549044001,2.43077342
-38.10431368,270.1891223,5.424919096,1.529477549
-38.04846004,688.411953,-0.283198874,2.045799801
-37.9357213,289.4799963,-0.85155706,1.066400722
-37.29117734,244.2573569,5.084763315,-0.078771348
-37.212406,239.1725936,5.050937193,-0.187400313
-37.18608073,249.3810519,5.123694989,0.105096612
-37.02500568,234.1216564,5.022379671,-0.300609202
-37.00239245,571.9397312,-2.305913892,2.091998838
-36.90205245,254.5486149,5.167562949,0.284028286
-36.86405022,288.7254008,-0.75459551,1.071671086
-36.56956576,275.7110029,5.521880647,1.534747913
-36.44419804,259.7648068,5.216191914,0.457854407
-35.96266024,688.2287541,-0.183198874,2.085799801
-35.87298621,536.5122774,2.64129634,2.415645949
-35.81778611,265.0342076,5.269400802,0.626411929
-35.78710877,288.0677669,-0.657633959,1.076941451
-35.03640019,281.3285131,5.617510167,1.533165575
-35.02824188,270.3612105,5.327002953,0.789544224
-34.93879764,569.7217558,-2.217975367,2.063594809
-34.70489695,287.5070944,-0.560672408,1.082211815
-34.08114061,275.7500169,5.388806352,0.947101275
-33.83686044,688.1455552,-0.083198874,2.125799801
-33.61741477,287.0433836,-0.463710858,1.08748218
-33.51161899,287.0400824,5.711569312,1.524781196
-33.47246774,539.2458261,2.733548679,2.400518478
-32.98220075,281.2046308,5.454613866,1.098939856
-32.90360686,567.591719,-2.130036843,2.035190781
-32.52466223,286.6766343,-0.366749307,1.092752544
-32.00196527,292.8439041,5.803821652,1.509653725
-31.73727704,286.7288542,5.524223486,1.244923708
-31.67106063,688.1623564,0.016801126,2.165799801
-31.42663932,286.4068465,-0.269787757,1.098022909
-31.08707673,542.0716271,2.825801018,2.385391006
-30.89682011,565.5496207,-2.042098319,2.006786752
-30.83214734,431.6998782,0.600609025,-0.020931194
-30.81970776,430.1939135,0.306689481,-0.064401142
-30.81121615,431.0992691,0.501704645,-0.001836887
-30.80937926,430.5975645,0.403651032,0.010328493
-30.79912724,433.2,0.8,0
-30.79912724,432.4,0.700121835,0.033020101
-30.75912724,435.1,1,0
-30.75912724,434.1,0.9,0.04
-30.75530661,429.887224,0.211059961,-0.065983481
-30.71912724,437.4,1.2,0
-30.71912724,436.2,1.1,0.04
-30.68932313,429.676164,0.117000816,-0.07436786
-30.67912724,439.5,1,0
-30.67912724,438.5,1.1,0.04
-30.63912724,441.2,0.8,0
-30.63912724,440.4,0.9,0.04
-30.61495527,429.5591632,0.024748477,-0.089495331
-30.59912724,442.5,0.6,0
-30.59912724,441.9,0.7,0.04
-30.55912724,443.4,0.4,0
-30.55912724,443,0.5,0.04
-30.52545994,429.5344147,-0.065462827,-0.11129873
-30.51912724,443.9,0.2,0
-30.51912724,443.7,0.3,0.04
-30.51411494,298.737937,5.894032955,1.487850326
-30.47912724,444,-5.83E-16,0
-30.47912724,444,0.1,0.04
-30.43912724,443.7,-0.2,0
-30.43912724,443.9,-0.1,0.04
-30.41416121,429.5998776,-0.153401351,-0.139702758
-30.39912724,443,-0.4,0
-30.39912724,443.4,-0.3,0.04
-30.35912724,441.9,-0.6,0
-30.35912724,442.5,-0.5,0.04
-30.35235334,292.3262828,5.597428566,1.384923708
-30.32334605,286.2340203,-0.172826206,1.103293273
-30.31912724,440.4,-0.8,0
-30.31912724,441.2,-0.7,0.04
-30.27912724,438.5,-1,0
-30.27912724,439.5,-0.9,0.04
-30.27445846,429.7532789,-0.238838122,-0.174624077
-30.23912724,436.4,-1,0
-30.23912724,437.4,-1.1,0.04
-30.19912724,434.7,-0.8,0
-30.19912724,435.5,-0.9,0.04
-30.15912724,433.4,-0.6,0
-30.15912724,434,-0.7,0.04
-30.11912724,432.5,-0.4,0
-30.11912724,432.9,-0.5,0.04
-30.09983438,429.992117,-0.321547213,-0.215971406
-30.07912724,432,-0.2,0
-30.07912724,432.2,-0.3,0.04
-30.03912724,431.9,0,0
-30.03912724,431.9,-0.1,0.04
-29.88386297,430.3136642,-0.401306023,-0.263645635
-29.62021734,430.7149703,-0.481064832,-0.311319864
-29.46526083,688.2791575,0.116801126,2.205799801
-29.30889747,431.1960351,-0.560823641,-0.358994094
-29.21478241,286.1581557,-0.075864655,1.108563637
-28.98626462,304.53197,5.794032955,1.527850326
-28.91843739,563.5954609,-1.954159795,1.978382723
-28.83353532,298.0003009,5.674018085,1.518818021
-28.71681319,544.9896805,2.918053358,2.370263535
-28.10094841,286.1792526,0.021096895,1.113834002
-27.41841429,310.2260029,5.694032955,1.567850326
-27.21946103,688.4959586,0.216801126,2.245799801
-27.18704306,303.7540778,5.753776894,1.64649225
-26.98184404,286.297311,0.118058446,1.119104366
-26.96845869,561.7292396,-1.866221271,1.949978695
-26.36167713,547.9999862,3.010305697,2.355136064
-25.85746931,286.512331,0.215019996,1.124374731
-25.81056396,315.8200359,5.594032955,1.607850326
-25.41920349,309.5905638,5.836485986,1.767839579
-25.23842066,437.3171769,-0.379858878,-0.349691011
-25.04688403,559.9509569,-1.778282747,1.921574666
-24.93366123,688.8127597,0.316801126,2.285799801
-24.88872965,437.6970358,-0.279858878,-0.309691011
-24.72782422,286.8243125,0.311981547,1.129645095
-24.57903864,437.9768947,-0.179858878,-0.269691011
-24.30934763,438.1567535,-0.079858878,-0.229691011
-24.16271364,321.3140688,5.494032955,1.647850326
-24.07965662,438.2366124,0.020141122,-0.189691011
-24.02166854,551.1025442,3.102558036,2.340008593
-23.88996561,438.2164713,0.120141122,-0.149691011
-23.7402746,438.0963302,0.220141122,-0.109691011
-23.63058359,437.8761891,0.320141122,-0.069691011
-23.59290876,287.2332556,0.408943098,1.13491546
-23.56089257,437.5560479,0.420141122,-0.029691011
-23.54151055,436.6157657,0.620141122,-0.029691011
-23.53644259,315.5124865,5.921922757,1.882760898
-23.53120156,437.1359068,0.520141122,0.010308989
-23.52212853,435.2754834,0.820141122,-0.029691011
-23.51181954,435.9956246,0.720141122,0.010308989
-23.50274651,433.5352012,1.020141122,-0.029691011
-23.49243752,434.4553423,0.920141122,0.010308989
-23.48336448,431.394919,1.220141122,-0.029691011
-23.4730555,432.5150601,1.120141122,0.010308989
-23.46398246,428.8546367,1.420141122,-0.029691011
-23.45367347,430.1747778,1.320141122,0.010308989
-23.44460044,425.9143545,1.620141122,-0.029691011
-23.43429145,427.4344956,1.520141122,0.010308989
-23.42521842,422.5740722,1.820141122,-0.029691011
-23.41490943,424.2942133,1.720141122,0.010308989
-23.40583639,418.83379,2.020141122,-0.029691011
-23.39552741,420.7539311,1.920141122,0.010308989
-23.38645437,414.6935077,2.220141122,-0.029691011
-23.37614538,416.8136489,2.120141122,0.010308989
-23.36707235,410.1532255,2.420141122,-0.029691011
-23.35676336,412.4733666,2.320141122,0.010308989
-23.34769033,405.2129433,2.620141122,-0.029691011
-23.33738134,407.7330844,2.520141122,0.010308989
-23.31799932,402.5928021,2.543551603,-0.083585324
-23.23441399,400.0492505,2.470346523,-0.143585324
-23.15371339,558.2606126,-1.690344222,1.893170637
-23.09082867,397.578904,2.400736903,-0.209569177
-22.88125949,395.1781671,2.334929389,-0.281407757
-22.60786143,689.2295609,0.416801126,2.325799801
-22.59985173,392.8432377,2.27312599,-0.358964808
-22.47486331,326.7081018,5.394032955,1.687850326
-22.45272293,287.7391603,0.505904648,1.140185824
-22.28293767,929.185073,2.813044216,-0.382440727
-21.90049694,926.3720288,2.913044216,-0.342440727
-21.69678742,554.2973546,3.194810375,2.324881122
-21.55805621,923.4589845,3.013044216,-0.302440727
-21.54527766,321.5223478,6.009861281,1.991164926
-21.30726674,288.3420265,0.602866199,1.145456189
-21.28894678,556.6582069,-1.602405698,1.864766609
-21.25561549,920.4459403,3.113044216,-0.262440727
-21.14983267,992.9080503,2.418200113,-0.369386869
-20.99317476,917.3328961,3.213044216,-0.222440727
-20.7804458,990.4898502,2.518200113,-0.329386869
-20.77073403,914.1198519,3.313044216,-0.182440727
-20.74701299,332.0021347,5.294032955,1.727850326
-20.5882933,910.8068077,3.413044216,-0.142440727
-20.45105893,987.9716501,2.618200113,-0.289386869
-20.44585258,907.3937635,3.513044216,-0.102440727
-20.4321078,877.5569,3.219733697,-0.038039585
-20.43014739,880.6766337,3.119733697,0.001960415
-20.39602863,871.0174326,3.419733697,-0.038039585
-20.39406822,874.3371663,3.319733697,0.001960415
-20.38818697,883.6963674,3.019733697,0.041960415
-20.35994946,864.0779652,3.619733697,-0.038039585
-20.35798905,867.5976989,3.519733697,0.001960415
-20.34341185,903.8807192,3.613044216,-0.062440727
-20.34095619,886.8130627,3.116695248,0.04723078
-20.32387029,856.7384978,3.819733697,-0.038039585
-20.32190988,860.4582315,3.719733697,0.001960415
-20.28779112,848.9990304,4.019733697,-0.038039585
-20.28583071,852.9187641,3.919733697,0.001960415
-20.28306957,893.3414648,3.313653241,-0.001509533
-20.28156003,890.0278115,3.214748862,0.059396159
-20.28097112,900.267675,3.513044216,-0.022440727
-20.2585304,896.7546308,3.413166051,0.024539172
-20.25171195,840.859563,4.219733697,-0.038039585
-20.24975154,844.9792967,4.119733697,0.001960415
-20.24206163,689.746362,0.516801126,2.365799801
-20.21563278,832.3200956,4.419733697,-0.038039585
-20.21367237,836.6398293,4.319733697,0.001960415
-20.17955361,823.3806283,4.619733697,-0.038039585
-20.1775932,827.900362,4.519733697,0.001960415
-20.16167207,985.35345,2.718200113,-0.249386869
-20.15654019,289.0418542,0.699827749,1.150726553
-20.14347444,814.0411609,4.819733697,-0.038039585
-20.14151403,818.7608946,4.719733697,0.001960415
-20.10739527,804.3016935,5.019733697,-0.038039585
-20.10543486,809.2214272,4.919733697,0.001960415
-20.0713161,794.1622261,5.219733697,-0.038039585
-20.06935569,799.2819598,5.119733697,0.001960415
-20.03523693,783.6227587,5.419733697,-0.038039585
-20.03327652,788.9424924,5.319733697,0.001960415
-19.99915776,772.6832913,5.619733697,-0.038039585
-19.99719735,778.203025,5.519733697,0.001960415
-19.99186281,68.50557738,7.838016835,1.4760139
-19.9630786,761.3438239,5.819733697,-0.038039585
-19.96111818,767.0635576,5.719733697,0.001960415
-19.92699943,749.6043565,6.019733697,-0.038039585
-19.92503901,755.5240902,5.919733697,0.001960415
-19.9122852,982.6352499,2.818200113,-0.209386869
-19.89092026,737.4648891,6.219733697,-0.038039585
-19.88895984,743.5846228,6.119733697,0.001960415
-19.85484109,724.9254217,6.419733697,-0.038039585
-19.85288067,731.2451554,6.319733697,0.001960415
-19.81876192,711.9859543,6.619733697,-0.038039585
-19.8168015,718.505688,6.519733697,0.001960415
-19.78268275,698.6464869,6.819733697,-0.038039585
-19.78072233,705.3662206,6.719733697,0.001960415
-19.75355487,711.4070441,7.918200113,-0.009386869
-19.74660358,684.9070195,7.019733697,-0.038039585
-19.74464316,691.8267532,6.919733697,0.001960415
